("port 2","X",1,"port 1",1,"transmission")
(1000,3)
 1.930499499500e+014 1.000000000000e+000 0.000000000000e+000
 1.930500500501e+014 1.000000000000e+000 0.000000000000e+000
 1.930501501502e+014 1.000000000000e+000 0.000000000000e+000
 1.930502502503e+014 1.000000000000e+000 0.000000000000e+000
 1.930503503504e+014 1.000000000000e+000 0.000000000000e+000
 1.930504504505e+014 1.000000000000e+000 0.000000000000e+000
 1.930505505506e+014 1.000000000000e+000 0.000000000000e+000
 1.930506506507e+014 1.000000000000e+000 0.000000000000e+000
 1.930507507508e+014 1.000000000000e+000 0.000000000000e+000
 1.930508508509e+014 1.000000000000e+000 0.000000000000e+000
 1.930509509510e+014 1.000000000000e+000 0.000000000000e+000
 1.930510510511e+014 1.000000000000e+000 0.000000000000e+000
 1.930511511512e+014 1.000000000000e+000 0.000000000000e+000
 1.930512512513e+014 1.000000000000e+000 0.000000000000e+000
 1.930513513514e+014 1.000000000000e+000 0.000000000000e+000
 1.930514514515e+014 1.000000000000e+000 0.000000000000e+000
 1.930515515516e+014 1.000000000000e+000 0.000000000000e+000
 1.930516516517e+014 1.000000000000e+000 0.000000000000e+000
 1.930517517518e+014 1.000000000000e+000 0.000000000000e+000
 1.930518518519e+014 1.000000000000e+000 0.000000000000e+000
 1.930519519520e+014 1.000000000000e+000 0.000000000000e+000
 1.930520520521e+014 1.000000000000e+000 0.000000000000e+000
 1.930521521522e+014 1.000000000000e+000 0.000000000000e+000
 1.930522522523e+014 1.000000000000e+000 0.000000000000e+000
 1.930523523524e+014 1.000000000000e+000 0.000000000000e+000
 1.930524524525e+014 1.000000000000e+000 0.000000000000e+000
 1.930525525526e+014 1.000000000000e+000 0.000000000000e+000
 1.930526526527e+014 1.000000000000e+000 0.000000000000e+000
 1.930527527528e+014 1.000000000000e+000 0.000000000000e+000
 1.930528528529e+014 1.000000000000e+000 0.000000000000e+000
 1.930529529530e+014 1.000000000000e+000 0.000000000000e+000
 1.930530530531e+014 1.000000000000e+000 0.000000000000e+000
 1.930531531532e+014 1.000000000000e+000 0.000000000000e+000
 1.930532532533e+014 1.000000000000e+000 0.000000000000e+000
 1.930533533534e+014 1.000000000000e+000 0.000000000000e+000
 1.930534534535e+014 1.000000000000e+000 0.000000000000e+000
 1.930535535536e+014 1.000000000000e+000 0.000000000000e+000
